2019-09-20 10:04:02  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 0.0 coins 
xrp                  | open_orders | id:  31302889 type: bid 
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | My Order List is  [] 
2019-09-20 10:04:02  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-20 10:04:02  | Spawn Trader  dongwkim-trader1 
2019-09-20 10:04:02  | Current Trader is dongwkim-trader1
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:343.0/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   2(0.5%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:23  | TEST  | Price: p:343.9/b:343.7/a:344.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   2(0.5%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:24  | TEST  | Price: p:344.3/b:343.7/a:344.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   2(0.6%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:28  | TEST  | Price: p:344.3/b:343.8/a:344.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   1(0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:28  | TEST  | Price: p:344.3/b:343.7/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   1(0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:30  | TEST  | Price: p:343.9/b:343.9/a:344.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   1(0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:30  | TEST  | Price: p:343.9/b:343.7/a:343.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   1(0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:30  | TEST  | Price: p:343.9/b:343.7/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:33  | TEST  | Price: p:343.7/b:343.0/a:343.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:33  | TEST  | Price: p:343.7/b:342.7/a:343.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:33  | TEST  | Price: p:343.7/b:342.8/a:343.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.3/a:343.7/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.4/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.6/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.5/a:344.1/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.1/a:344.1/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.0/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.1/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.1/a:344.0/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.1/a:344.1/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.1/a:344.0/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:342.8/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.2/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.3/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.2/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.3/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.2/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.4/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.5/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:40  | TEST  | Price: p:343.3/b:343.3/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:36  | TEST  | Price: p:344.2/b:343.3/a:344.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -0(-0.0%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:38  | TEST  | Price: p:343.2/b:343.5/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:38  | TEST  | Price: p:343.2/b:343.6/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:38  | TEST  | Price: p:343.2/b:343.5/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:38  | TEST  | Price: p:343.2/b:343.7/a:344.2/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/  -1(-0.3%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:53  | TEST  | Price: p:343.6/b:343.1/a:344.0/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:53  | TEST  | Price: p:343.6/b:343.2/a:343.6/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:53  | TEST  | Price: p:343.6/b:342.8/a:343.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:53  | TEST  | Price: p:343.6/b:343.1/a:343.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:07:53  | TEST  | Price: p:343.6/b:342.8/a:343.9/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/  -1(-0.2%) Avg:  342/ 341 | deal (0) | bal:242,112  
