xrp     | trade_in_use 85.828 coin
[(10387685, 0.0998), (10318403, 0.09992000000000001), (10316484, 0.09992000000000001), (10305206, 0.009992000000000001), (10305019, 0.00998546), (10304867, 0.01665332), (9910816, 0.82852404), (9908787, 0.16760432328407088), (9907696, 0.017075873516126272)]
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,487,000/a:1,492,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9650/  -700/     0 Avg: 1493764/1488185 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,487,000/a:1,492,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9650/  -700/     0 Avg: 1493764/1488185 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:44:31 | Price: p:1,492,550/b:1,487,000/a:1,492,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7400/  4550/     0 Avg: 1493739/1488320 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:44:31 | Price: p:1,492,550/b:1,487,000/a:1,492,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7400/  4550/     0 Avg: 1493739/1488327 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:44:31 | Price: p:1,492,550/b:1,487,000/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7400/  4550/     0 Avg: 1493739/1488349 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:45:08 | Price: p:1,487,000/b:1,487,000/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12950/  -200/ -5550 Avg: 1493711/1488432 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:45:08 | Price: p:1,487,000/b:1,487,200/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12950/   650/ -5550 Avg: 1493661/1488842 |  lat:   47 ms| bidding (0) | balance:170741  
2018-01-05 22:45:08 | Price: p:1,487,000/b:1,487,250/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12950/   600/     0 Avg: 1493661/1489225 |  lat:   49 ms| bidding (0) | balance:170741  
2018-01-05 22:45:08 | Price: p:1,487,000/b:1,487,250/a:1,492,300/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12950/   600/     0 Avg: 1493661/1489225 |  lat:   69 ms| bidding (0) | balance:170741  
2018-01-05 22:45:08 | Price: p:1,487,000/b:1,487,250/a:1,492,250/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -12950/   600/     0 Avg: 1493661/1489225 |  lat:  111 ms| bidding (0) | balance:170741  
2018-01-05 22:46:01 | Price: p:1,492,250/b:1,487,250/a:1,492,250/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7700/  5850/  5250 Avg: 1493655/1489337 |  lat:   68 ms| bidding (0) | balance:170741  
2018-01-05 22:46:01 | Price: p:1,492,250/b:1,487,250/a:1,492,200/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7750/  4250/     0 Avg: 1493603/1489706 |  lat:  116 ms| bidding (0) | balance:170741  
2018-01-05 22:46:01 | Price: p:1,492,250/b:1,487,250/a:1,492,150/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7750/  4250/     0 Avg: 1493603/1489706 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:46:01 | Price: p:1,492,250/b:1,487,250/a:1,492,100/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7750/  4250/     0 Avg: 1493577/1489706 |  lat:  125 ms| bidding (0) | balance:170741  
2018-01-05 22:47:23 | Price: p:1,492,100/b:1,487,250/a:1,492,100/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7900/ -3250/     0 Avg: 1493571/1489639 |  lat:   66 ms| bidding (0) | balance:170741  
2018-01-05 22:47:23 | Price: p:1,492,100/b:1,492,000/a:1,492,100/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -7900/  3150/     0 Avg: 1493571/1489380 |  lat:   43 ms| bidding (0) | balance:170741  
