2017-12-22 10:42:03 | Price: p:1655/b:1651/a:1655/l:1694 | Buy: 0/0 |  1Hr: delta: -100 1623/1691/1762 tx: 2586 | 10Min: delta:  -9 1646/1657/1667 |  tx: 410 lat:   77 ms| bidding (0) | balance:101428  
2017-12-22 10:42:06 | Price: p:1650/b:1650/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -105 1623/1690/1762 tx: 2588 | 10Min: delta: -14 1646/1657/1667 |  tx: 414 lat:  104 ms| bidding (0) | balance:101428  
2017-12-22 10:42:09 | Price: p:1650/b:1650/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -105 1623/1690/1762 tx: 2594 | 10Min: delta: -14 1646/1657/1667 |  tx: 423 lat:   63 ms| bidding (0) | balance:101428  
2017-12-22 10:42:10 | Price: p:1650/b:1650/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -105 1623/1690/1762 tx: 2594 | 10Min: delta: -14 1646/1657/1667 |  tx: 423 lat:  109 ms| bidding (0) | balance:101428  
2017-12-22 10:42:13 | Price: p:1650/b:1650/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -99 1623/1690/1762 tx: 2593 | 10Min: delta:  -8 1646/1657/1667 |  tx: 424 lat:  203 ms| bidding (0) | balance:101428  
2017-12-22 10:42:15 | Price: p:1656/b:1650/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -105 1623/1690/1762 tx: 2599 | 10Min: delta: -14 1646/1657/1667 |  tx: 430 lat:  105 ms| bidding (0) | balance:101428  
2017-12-22 10:42:15 | xrp_krw Buy    : id# 4520687    is success         343ms
2017-12-22 10:42:19 | Price: p:1650/b:1647/a:1650/l:1694 | Buy: 1656/1705 |  1Hr: delta: -105 1623/1690/1762 tx: 2605 | 10Min: delta: -14 1646/1657/1667 |  tx: 444 lat:  116 ms| bidding (0) | balance:101428  
2017-12-22 10:42:22 | Price: p:1650/b:1648/a:1650/l:1694 | Buy: 1656/1705 |  1Hr: delta: -105 1623/1690/1762 tx: 2600 | 10Min: delta: -14 1646/1657/1667 |  tx: 444 lat:  103 ms| bidding (0) | balance:101428  
2017-12-22 10:42:28 | Price: p:1648/b:1648/a:1650/l:1694 | Buy: 1656/1705 |  1Hr: delta: -111 1623/1689/1762 tx: 2589 | 10Min: delta: -16 1646/1657/1667 |  tx: 445 lat:  123 ms| bidding (0) | balance:101428  
2017-12-22 10:42:29 | Price: p:1650/b:1650/a:1654/l:1694 | Buy: 1656/1705 |  1Hr: delta: -106 1623/1689/1762 tx: 2590 | 10Min: delta: -14 1646/1657/1667 |  tx: 447 lat:  125 ms| bidding (0) | balance:101428  
2017-12-22 10:42:32 | Price: p:1650/b:1650/a:1654/l:1694 | Buy: 1656/1705 |  1Hr: delta: -109 1623/1689/1762 tx: 2592 | 10Min: delta: -14 1646/1657/1667 |  tx: 451 lat:   75 ms| bidding (0) | balance:101428  
2017-12-22 10:42:34 | Price: p:1650/b:1650/a:1654/l:1694 | Buy: 1656/1705 |  1Hr: delta: -110 1623/1689/1762 tx: 2597 | 10Min: delta: -14 1646/1657/1667 |  tx: 457 lat:   85 ms| bidding (0) | balance:101428  
