2017-12-21 04:09:26 | Price: p:1034600/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -14350 1033700/1042096/1056300 tx: 217 | 10Min: delta: -2450 1034600/1036022/1037100 |  tx:  38 lat:   56 ms| bidding (0) | balance:100000  
2017-12-21 04:10:11 | Price: p:1034650/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -21650 1033700/1041933/1056300 tx: 214 | 10Min: delta: -2400 1034600/1035987/1037100 |  tx:  39 lat:   49 ms| bidding (0) | balance:100000  
2017-12-21 04:11:16 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -19400 1033700/1041703/1054000 tx: 215 | 10Min: delta: -2450 1034600/1035728/1037100 |  tx:  37 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:11:19 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -19400 1033700/1041670/1054000 tx: 216 | 10Min: delta: -2450 1034600/1035698/1037100 |  tx:  38 lat:   47 ms| bidding (0) | balance:100000  
2017-12-21 04:11:27 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -14450 1033700/1041580/1050750 tx: 216 | 10Min: delta: -2450 1034600/1035670/1037100 |  tx:  39 lat:   49 ms| bidding (0) | balance:100000  
2017-12-21 04:11:57 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041393/1050750 tx: 211 | 10Min: delta: -2450 1034600/1035643/1037100 |  tx:  40 lat:   66 ms| bidding (0) | balance:100000  
2017-12-21 04:12:12 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041361/1050750 tx: 212 | 10Min: delta: -2450 1034600/1035582/1037100 |  tx:  40 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:12:27 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041329/1050750 tx: 213 | 10Min: delta: -2450 1034600/1035558/1037100 |  tx:  41 lat:   50 ms| bidding (0) | balance:100000  
2017-12-21 04:12:37 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041297/1050750 tx: 214 | 10Min: delta: -2450 1034600/1035498/1037100 |  tx:  41 lat:   58 ms| bidding (0) | balance:100000  
2017-12-21 04:12:43 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041235/1050750 tx: 216 | 10Min: delta: -2450 1034600/1035456/1037100 |  tx:  43 lat:   63 ms| bidding (0) | balance:100000  
2017-12-21 04:12:51 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041115/1050750 tx: 220 | 10Min: delta: -2450 1034600/1035384/1037100 |  tx:  47 lat:   48 ms| bidding (0) | balance:100000  
2017-12-21 04:12:56 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041085/1050750 tx: 221 | 10Min: delta: -2450 1034600/1035367/1037100 |  tx:  48 lat:   85 ms| bidding (0) | balance:100000  
2017-12-21 04:13:00 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1041056/1050750 tx: 222 | 10Min: delta: -2450 1034600/1035352/1037100 |  tx:  49 lat:   66 ms| bidding (0) | balance:100000  
2017-12-21 04:13:19 | Price: p:1034550/b:1034500/a:1034550 | Buy: 0/0 |  1Hr: delta: -10450 1033700/1040969/1050750 tx: 225 | 10Min: delta: -2500 1034550/1035271/1037100 |  tx:  51 lat:   69 ms| bidding (0) | balance:100000  
2017-12-21 04:13:20 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10450 1033700/1040969/1050750 tx: 225 | 10Min: delta: -2500 1034550/1035271/1037100 |  tx:  51 lat:  108 ms| bidding (0) | balance:100000  
2017-12-21 04:13:21 | Price: p:1034550/b:1034500/a:1034550 | Buy: 0/0 |  1Hr: delta: -10450 1033700/1040969/1050750 tx: 225 | 10Min: delta: -2500 1034550/1035271/1037100 |  tx:  51 lat:   66 ms| bidding (0) | balance:100000  
2017-12-21 04:13:27 | Price: p:1034500/b:1034150/a:1034500 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040883/1050750 tx: 228 | 10Min: delta: -2900 1034150/1035222/1037100 |  tx:  54 lat:   57 ms| bidding (0) | balance:100000  
2017-12-21 04:13:27 | Price: p:1034150/b:1034150/a:1034500 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040883/1050750 tx: 228 | 10Min: delta: -2900 1034150/1035222/1037100 |  tx:  54 lat:   59 ms| bidding (0) | balance:100000  
2017-12-21 04:13:32 | Price: p:1034150/b:1034150/a:1034500 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040826/1050750 tx: 230 | 10Min: delta: -2900 1034150/1035190/1037100 |  tx:  56 lat:   62 ms| bidding (0) | balance:100000  
2017-12-21 04:13:34 | Price: p:1034150/b:1034100/a:1034150 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040711/1050750 tx: 234 | 10Min: delta: -2900 1034150/1035120/1037100 |  tx:  60 lat:   42 ms| bidding (0) | balance:100000  
2017-12-21 04:13:37 | Price: p:1034150/b:1034100/a:1034500 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040711/1050750 tx: 234 | 10Min: delta: -2900 1034150/1035120/1037100 |  tx:  60 lat:   41 ms| bidding (0) | balance:100000  
2017-12-21 04:13:37 | Price: p:1034150/b:1034100/a:1034550 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040711/1050750 tx: 234 | 10Min: delta: -2900 1034150/1035120/1037100 |  tx:  60 lat:   41 ms| bidding (0) | balance:100000  
2017-12-21 04:13:38 | Price: p:1034150/b:1034100/a:1034600 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040711/1050750 tx: 234 | 10Min: delta: -2900 1034150/1035120/1037100 |  tx:  60 lat:   42 ms| bidding (0) | balance:100000  
2017-12-21 04:13:40 | Price: p:1034150/b:1034150/a:1034600 | Buy: 0/0 |  1Hr: delta: -10850 1033700/1040711/1050750 tx: 234 | 10Min: delta: -2900 1034150/1035120/1037100 |  tx:  60 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:13:50 | Price: p:1034600/b:1034150/a:1034650 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1040685/1050750 tx: 235 | 10Min: delta: -2450 1034150/1035112/1037100 |  tx:  61 lat:   40 ms| bidding (0) | balance:100000  
2017-12-21 04:13:51 | Price: p:1034600/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1040685/1050750 tx: 235 | 10Min: delta: -2450 1034150/1035112/1037100 |  tx:  61 lat:   59 ms| bidding (0) | balance:100000  
2017-12-21 04:13:53 | Price: p:1034600/b:1034150/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1040660/1050750 tx: 236 | 10Min: delta: -2450 1034150/1035104/1037100 |  tx:  62 lat:   41 ms| bidding (0) | balance:100000  
2017-12-21 04:14:08 | Price: p:1034600/b:1034150/a:1034600 | Buy: 0/0 |  1Hr: delta: -10400 1033700/1040634/1050750 tx: 237 | 10Min: delta: -2500 1034150/1035064/1037100 |  tx:  62 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:15:42 | Price: p:1034150/b:1034150/a:1034600 | Buy: 0/0 |  1Hr: delta: -10800 1033700/1040430/1049950 tx: 230 | 10Min: delta: -2950 1034150/1034982/1037100 |  tx:  61 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:16:07 | Price: p:1034100/b:1034100/a:1034550 | Buy: 0/0 |  1Hr: delta: -10800 1033700/1040211/1049950 tx: 225 | 10Min: delta: -3000 1034100/1034955/1037100 |  tx:  63 lat:  107 ms| bidding (0) | balance:100000  
2017-12-21 04:16:12 | Price: p:1034100/b:1034100/a:1034550 | Buy: 0/0 |  1Hr: delta: -10800 1033700/1040184/1049950 tx: 226 | 10Min: delta: -3000 1034100/1034942/1037100 |  tx:  64 lat:   44 ms| bidding (0) | balance:100000  
2017-12-21 04:16:16 | Price: p:1034100/b:1033050/a:1034000 | Buy: 0/0 |  1Hr: delta: -8250 1033700/1039992/1049950 tx: 225 | 10Min: delta: -2650 1034100/1034859/1037050 |  tx:  67 lat:   63 ms| bidding (0) | balance:100000  
