2018-01-05 03:46:25 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -45/   1 Avg: 4452/4408 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:46:27 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -45/   1 Avg: 4452/4408 |  lat:   58 ms| bidding (0) | balance:500000  
2018-01-05 03:46:30 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -40/   1 Avg: 4452/4408 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:46:36 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -40/   1 Avg: 4452/4408 |  lat:   92 ms| bidding (0) | balance:500000  
2018-01-05 03:46:51 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -30/   0 Avg: 4452/4408 |  lat:  125 ms| bidding (0) | balance:500000  
2018-01-05 03:47:00 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -30/   0 Avg: 4452/4408 |  lat:   50 ms| bidding (0) | balance:500000  
2018-01-05 03:47:09 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -29/   0 Avg: 4452/4407 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:47:19 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -20/   0 Avg: 4452/4405 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:47:41 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -20/   0 Avg: 4451/4404 |  lat:   74 ms| bidding (0) | balance:500000  
2018-01-05 03:47:41 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -113/ -18/   0 Avg: 4451/4404 |  lat:   93 ms| bidding (0) | balance:500000  
2018-01-05 03:48:00 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -112/ -17/   0 Avg: 4451/4404 |  lat:   61 ms| bidding (0) | balance:500000  
2018-01-05 03:48:05 | Price: p:4398/b:4398/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -109/ -20/  -2 Avg: 4450/4404 |  lat:   99 ms| bidding (0) | balance:500000  
2018-01-05 03:48:07 | Price: p:4397/b:4395/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -116/ -27/  -9 Avg: 4450/4403 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:48:08 | Price: p:4400/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -107/ -18/   0 Avg: 4450/4403 |  lat:  162 ms| bidding (0) | balance:500000  
2018-01-05 03:48:08 | Price: p:4400/b:4391/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -107/ -17/   0 Avg: 4450/4403 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:48:47 | Price: p:4391/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -28/ -10 Avg: 4449/4402 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:48:47 | Price: p:4390/b:4390/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -28/ -10 Avg: 4449/4402 |  lat:  137 ms| bidding (0) | balance:500000  
2018-01-05 03:48:47 | Price: p:4390/b:4390/a:4399/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -28/ -10 Avg: 4449/4402 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:48:47 | Price: p:4390/b:4391/a:4399/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -30/ -10 Avg: 4449/4402 |  lat:   96 ms| bidding (0) | balance:500000  
2018-01-05 03:49:04 | Price: p:4391/b:4391/a:4399/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -114/ -29/  -7 Avg: 4449/4402 |  lat:   51 ms| bidding (0) | balance:500000  
2018-01-05 03:49:13 | Price: p:4399/b:4391/a:4399/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -111/ -21/   8 Avg: 4449/4402 |  lat:   51 ms| bidding (0) | balance:500000  
2018-01-05 03:49:15 | Price: p:4391/b:4390/a:4391/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -114/ -29/   0 Avg: 4449/4402 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:49:26 | Price: p:4390/b:4390/a:4391/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -26/  -1 Avg: 4448/4401 |  lat:   47 ms| bidding (0) | balance:500000  
2018-01-05 03:49:28 | Price: p:4390/b:4390/a:4391/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -26/  -1 Avg: 4448/4400 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:49:29 | Price: p:4390/b:4390/a:4391/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -26/  -1 Avg: 4448/4400 |  lat:   50 ms| bidding (0) | balance:500000  
